COD;RUA;SAL;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;LAT;LONG
350600305000472;CRUZAMENTO DA RODOVIA MARECHAL RONDON SP-300 COM CÓRREGO DA GABIROBA.;1640.31;;;;;-22.319765000;-49.0092803000
350600305000056;RUA PASCOAL LUCIANO, Nº 3-1.;1624.26;;;;;-14.665974000;-52.3549652000
350600305000019; RUA PADRE NÓBREGA COM A RUA ALTO JURUÁ.;1600.30;;;;;-20.132170100;-40.2014263000
350600305000161;CRUZAMENTO DA AVENIDA CASTELO BRANCO COM A RUA NICOLA CONSTANTINO.;1588.93;;;;;-23.464171300;-51.8617990000
350600305000236;ENTRONCAMENTO DA RUA CORONEL ANTÔNIO DE ÁVILA REBOUÇAS COM A RUA FELÍCIO ATALA.;1585.03;;;;;-22.299182100;-49.0620225000
350600305000112;CRUZAMENTO DA AVENIDA JOSÉ HENRIQUE FERRAZ COM A RUA EQUADOR.;1576.53;;;;;-22.352664700;-49.0967504000
350600305000006; VIADUTO JUSCELINO KUBITSCHEK COM OS TRILHOS DA FERROBAN.;1567.66;;;;;-30.056588600;-51.2172076000
350600305000230;CRUZAMENTO DA RUA PLÍNIO CAMARGO COM A DIVISA DA RODOVIA MARECHAL RONDON SP-300.;1555.08;;;;;-22.294190300;-49.0739153000
350600305000089;RUA FRANCISCO LEMOS ALMEIDA COM A RUA DOUTOR ASSIR REZE.;1550.93;;;;;-22.308317100;-49.0897515000
350600305000475;CRUZAMENTO DA DIVISA DO HORTO FLORESTAL DA FEPASA COM CONTRAFORTE CÓRREGO VARGEM LIMPA.;1544.87;;;;;-22.319765000;-49.0092803000
350600305000073;AVENIDA CASTELO BRANCO COM A RUA FAUSTO T. AMARAL.;1541.80;;;;;-23.464171300;-51.8617990000
350600305000031; TRILHOS DA FERROBAN COM A RUA ANTÔNIO ZUIANI.;1527.12;;;;;-22.322602900;-49.0815765000
350600305000214;CRUZAMENTO DA AVENIDA WALDEMAR GUIMARÃES FERREIRA COM A AVENIDA ELIAS MIGUEL MALUF.;1519.70;;;;;-22.328958900;-49.1187057000
350600305000088;RUA AGOSTINHO FORNETTI COM A RUA JOAQUIM RADICOPA.;1509.91;;;;;-22.301496200;-49.0849118000
350600305000094;RUA JOSÉ BONIFÁCIO COM O CÓRREGO DAS FLORES.;1509.38;;;;;-22.897646900;-45.3791231000
350600305000013; RUA CARLOS DE CAMPOS COM A RUA CAMPOS SALLES.;1507.26;;;;;-23.192143900;-49.3836318000
350600305000068;RUA MARECHAL FLORIANO PEIXOTO COM A RUA DOMICIANO SILVA.;1502.22;;;;;-15.661174900;-56.1210616000
350600305000083;RUA DOUTOR SÍLVIO LUIZ DA COSTA COM OS TRILHOS DA NOVOEST.;1501.36;;;;;-22.324280600;-49.0959802000
350600305000535;CRUZAMENTO DA DIVISA DA PROPRIEDADE DA FAMÍLIA SIMÕES (EXCLUSIVE) COM OS TRILHOS DA FERROBAN.;1501.00;;;;;-22.363777000;-49.0909131000
